MF_CATEGORIE;DOC_TITRE;DOC_PER_NUMERO;DOC_AN_EDIT;FT_CID;FT_SFNAME;;URL directe du fichier
Met Mar;Met Mar n°155 - 2ème trimestre 1992;155;1992;235670;doc00025270__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235670/doc00025270__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235670/doc00025270__PDF.txt
Met Mar;Met Mar n°156 - 3ème trimestre 1992;156;1992;235669;doc00025269__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235669/doc00025269__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235669/doc00025269__PDF.txt
Met Mar;Met Mar n°157 - 4ème trimestre 1992;157;1992;235668;doc00025268__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235668/doc00025268__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235668/doc00025268__PDF.txt
Met Mar;Met Mar n°158 - 1er trimestre 1993;158;1993;235667;doc00025267__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235667/doc00025267__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235667/doc00025267__PDF.txt
Met Mar;Met Mar n°159 - 2ème trimestre 1993;159;1993;235666;doc00025266__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235666/doc00025266__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235666/doc00025266__PDF.txt
Met Mar;Met Mar n°160 - septembre 1993;160;1993;235663;doc00025263__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235663/doc00025263__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235663/doc00025263__PDF.txt
Met Mar;Met Mar n°161 - décembre 1993;161;1993;235606;doc00025197__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235606/doc00025197__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235606/doc00025197__PDF.txt
Met Mar;Met Mar n°162 - mars 1994;162;1994;235603;doc00025194__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235603/doc00025194__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235603/doc00025194__PDF.txt
Met Mar;Met Mar n°163 - juin 1994;163;1994;235602;doc00025193__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235602/doc00025193__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235602/doc00025193__PDF.txt
Met Mar;Met Mar n°164 - septembre 1994;164;1994;235601;doc00025192__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235601/doc00025192__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235601/doc00025192__PDF.txt
Met Mar;Met Mar n°165 - décembre 1994;165;1994;235600;doc00025191__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235600/doc00025191__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235600/doc00025191__PDF.txt
Met Mar;Met Mar n°166 - mars 1995;166;1995;235599;doc00025190__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235599/doc00025190__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235599/doc00025190__PDF.txt
Met Mar;Met Mar n°167 - juin 1995;167;1995;235598;doc00025189__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235598/doc00025189__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235598/doc00025189__PDF.txt
Met Mar;Met Mar n°168 - septembre 1995;168;1995;235597;doc00025188__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235597/doc00025188__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235597/doc00025188__PDF.txt
Met Mar;Met Mar n°169 - décembre 1995;169;1995;235596;doc00025187__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235596/doc00025187__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235596/doc00025187__PDF.txt
Met Mar;Met Mar n°170 - mars 1996;170;1996;235595;doc00025186__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235595/doc00025186__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235595/doc00025186__PDF.txt
Met Mar;Met Mar n°171 - juin 1996;171;1996;235547;doc00025127__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235547/doc00025127__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235547/doc00025127__PDF.txt
Met Mar;Met Mar n°172 - septembre 1996;172;1996;235545;doc00025125__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235545/doc00025125__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235545/doc00025125__PDF.txt
